threads,run,time
1,1,0.083454
1,2,0.081549
1,3,0.081063
1,4,0.081434
1,5,0.081869
2,1,0.043860
2,2,0.042749
2,3,0.046558
2,4,0.041561
2,5,0.044282
4,1,0.030834
4,2,0.029684
4,3,0.036213
4,4,0.032265
4,5,0.026795
8,1,0.026234
8,2,0.028033
8,3,0.026538
8,4,0.026629
8,5,0.027819
16,1,0.096940
16,2,0.080187
16,3,0.091089
16,4,0.081198
16,5,0.089181
