threads,run,time
1,1,0.100689
1,2,0.098277
1,3,0.097696
1,4,0.095464
1,5,0.095719
2,1,0.079347
2,2,0.072887
2,3,0.073378
2,4,0.073997
2,5,0.071471
4,1,0.066218
4,2,0.064581
4,3,0.066801
4,4,0.063978
4,5,0.068058
8,1,0.099844
8,2,0.101881
8,3,0.101689
8,4,0.102372
8,5,0.101427
16,1,0.194538
16,2,0.194908
16,3,0.191856
16,4,0.193578
16,5,0.193205
