threads,run,time
1,1,0.089125
1,2,0.090665
1,3,0.089693
1,4,0.089215
1,5,0.090837
2,1,0.071010
2,2,0.072502
2,3,0.071787
2,4,0.070354
2,5,0.072068
4,1,0.066318
4,2,0.067063
4,3,0.066167
4,4,0.071722
4,5,0.065069
8,1,0.100969
8,2,0.099587
8,3,0.099982
8,4,0.099841
8,5,0.102035
16,1,0.199960
16,2,0.192744
16,3,0.193701
16,4,0.192139
16,5,0.193257
