threads,run,time
1,1,0.093888
1,2,0.097356
1,3,0.097204
1,4,0.097301
1,5,0.097223
2,1,0.073166
2,2,0.072966
2,3,0.078873
2,4,0.072521
2,5,0.072275
4,1,0.069625
4,2,0.081464
4,3,0.064372
4,4,0.063383
4,5,0.062390
8,1,0.101710
8,2,0.101801
8,3,0.100436
8,4,0.102327
8,5,0.100009
16,1,0.222688
16,2,0.192345
16,3,0.195339
16,4,0.194200
16,5,0.194491
