threads,run,time
1,1,.002536966
1,2,.002032765
1,3,.002037494
1,4,.001940023
1,5,.002099756
2,1,.001898987
2,2,.001956425
2,3,.001946485
2,4,.001891019
2,5,.001927552
4,1,.002087227
4,2,.002267305
4,3,.001902425
4,4,.001964658
4,5,.002037692
8,1,.001869396
8,2,.001886301
8,3,.002198271
8,4,.001854553
8,5,.001947322
16,1,.001899822
16,2,.001950408
16,3,.001942088
16,4,.001908454
16,5,.002020301
