threads,run,time
1,1,.002223575
1,2,.001913461
1,3,.001920795
1,4,.001885916
1,5,.002368550
2,1,.002131109
2,2,.001999894
2,3,.002485169
2,4,.001875986
2,5,.001951512
4,1,.001886710
4,2,.002316092
4,3,.001956890
4,4,.001927508
4,5,.001900884
8,1,.002088520
8,2,.002082651
8,3,.001865694
8,4,.002381520
8,5,.002031448
16,1,.002230308
16,2,.001878368
16,3,.001916904
16,4,.002058545
16,5,.002157253
