threads,run,time
1,1,0.083059
2,1,0.082053
3,1,0.084236
4,1,0.085659
5,1,0.080765
1,2,0.042905
2,2,0.042251
3,2,0.041166
4,2,0.041391
5,2,0.039985
1,4,0.030753
2,4,0.030878
3,4,0.033595
4,4,0.028478
5,4,0.035448
1,8,0.027479
2,8,0.028344
3,8,0.028653
4,8,0.025956
5,8,0.027809
1,16,0.083919
2,16,0.087508
3,16,0.042682
4,16,0.094558
5,16,0.084460
